gamekey,record,adjoe,adjde,barthag,sos,ncsos,consos,elite SOS,elite noncon SOS,Opp OE,Opp DE,Con Adj OE,Con Adj DE,Qual O,Qual D,Qual Barthag,Qual Games,FUN,ConPF,ConPA,ConPoss,ConOE,ConDE,ConSOSRemain,WAB,didwin
Duke-UNC Greensboro,0.6169354838709677,24.865868101803756,-15.52667716218457,0.6761235690089007,0.2063658594938641,-0.117579767224677,0.40673082692412155,-0.1652160742368437,0.0951656130829005,4.51867707691234,-4.765724270078536,23.55092455780688,-12.995332656240379,13.619413519087274,-30.236295463444947,0.6556080331552865,13,0.06679322825956485,-3.0,-217.0,-148.25,0.13520067536002756,-0.0645289218034234,0,24.13740151377552,True
Duke-Coastal Carolina,0.10080645161290325,20.39985622355968,-10.27957936845742,0.407800541380149,0.49137472520806885,0.2362320190836521,0.6610581563993292,-0.2787737396104508,-0.09407698137727338,11.400629385137407,-10.828088672121794,20.07814591778296,-9.320812879866253,41.98335555024619,-2.5883767289303563,0.7199858847858256,16,0.014038044265761718,-128.0,-81.0,-145.57499999999982,0.028768394470114478,0.046645944524957184,0,12.135894370811876,True
Duke-Charlotte,0.2620967741935484,13.870491587258499,-12.137526207477023,0.2895108682904086,0.15452973545151827,0.0937887071029424,0.16242502074563647,-0.09569212813408834,0.017706290996689744,3.786827361843052,-3.122997117438274,13.018456745396037,-10.66847177911113,18.26662821031779,-12.901383958633787,0.35445117277348637,7,-0.06686780660082514,34.0,-154.0,-65.87499999999977,0.09606134136729838,-0.08221751107091058,0,10.807845772796995,True
Duke-Radford,0.2887931034482759,27.21074179303413,-11.498852265721666,0.6386928430107979,0.4163685229535919,-0.0022894103263056964,0.6360054794400762,-0.23017884351171158,0.08089543847621739,9.23985870026408,-9.219625062764464,26.90726345511858,-11.340048768316052,29.30887859640339,-13.225239493920299,0.6496121265641481,15,-0.017047241474891672,-128.0,-201.0,-243.97499999999968,0.11123938469009897,0.021959523739768838,0,16.166392353982513,True
Duke-Arizona St.,0.20833333333333337,10.953402489982892,-5.3170951551597625,0.10499660582695736,0.10855550143905779,0.088560486748127,0.1049804976777815,-0.10027576858197618,-0.02166008570660749,2.690673420840838,-2.0935811273357956,10.786616609883566,-4.190298192725308,15.397541507939167,-7.8657030374747166,0.1842170626877273,10,0.04820053493941767,16.0,-101.0,-67.63749999999982,0.08161048732262066,-0.03333773121824801,0,8.334792330093691,True
Duke-Connecticut,0.34558823529411764,14.208822320090121,-4.672343842827601,0.13811437353352185,0.01493962826907369,0.003945066398063024,0.024482542681367625,-0.022571549441046668,-0.010071889351144003,-1.0399142931083816,-1.221380047776691,14.495032518063454,-3.1584940937973585,10.121501243357727,-5.878607223330434,0.08751443437309159,4,0.05362449498789934,-56.0,-239.0,-176.94999999999982,0.1150101489022779,-0.05896335425791488,0,10.820144676360467,True
Duke-Wisconsin,0.1477272727272727,5.7056890614933025,-2.906398217832418,0.03579088047614609,0.04131564519880193,0.02267689739374712,0.0701772679189333,-0.03412801817804989,-0.003753059914832435,-0.48317897346821326,-2.299941387346209,3.2844472385893226,-0.6525949793830677,-19.055426762381728,-19.516396068532956,0.018627028990081507,6,0.04840484920653676,20.0,8.0,10.162500000000136,0.008296362997584739,-0.001494437463032794,0,4.554846978367939,False
Duke-St. John's,0.35984848484848486,13.917281542759994,-5.180112487811485,0.14246709655218093,0.030984520318474984,0.056845001488698865,0.0385771717704676,-0.014523600773474477,-0.007769843061576687,-1.0502682596025323,-2.3556901482399297,15.244711971944781,-5.552336766617273,20.607137062042426,-2.2793006329223715,0.16641959852406663,4,0.05186593198973488,8.0,-244.0,-140.09999999999968,0.13771780046001614,-0.0940120190354704,0,10.66418084361067,True
Duke-Gardner Webb,0.6826923076923077,30.641829088999685,-23.200512502817475,0.8912815988465221,0.3794565443026202,-0.06202081068851828,0.6078943927032453,-0.21628428478950834,0.11348433502453426,8.549693007396286,-8.372822817466272,29.842488346005013,-23.134859454083653,40.04353395169841,-6.7680349022516,0.7619303075043631,16,0.04857863803631765,-47.0,-361.0,-240.9124999999999,0.17143652451590774,-0.10381857535350403,0,25.08772701277832,True
Duke-Gonzaga,0.08712121212121215,9.452349851678946,-5.859807990137412,0.09524579262189559,0.15575019982246496,-0.01757408863341603,0.34105021595230856,-0.10586766237442846,0.05316510261631213,2.0283722511092748,-4.748905418069867,6.349906102922247,-7.242965681705968,20.53755590483462,4.468215232137268,0.06849807221143633,9,-0.052544405340609446,75.0,60.0,92.01250000000016,-0.028816694263424703,-0.027613094246786818,0,5.901197861958126,True
Duke-Long Beach St.,0.3911290322580645,20.995660413055333,-9.658687127229427,0.4066716569805441,0.1906391834141954,-0.1860682336262497,0.4536483286786724,-0.11971376661684807,0.21781475141339135,2.690305605059848,-5.134968823268622,25.51564803817739,-10.674977756982926,1.0807561597094661,-25.17577348378805,0.26704038876946434,11,0.0052395478033590015,97.0,-92.0,-63.16249999999991,0.149999522784103,-0.02918133506129661,0,15.710781568570418,True
Duke-Penn,0.6607142857142857,24.74541827840565,-24.0057347778409,0.8264739647997802,0.3082046305788259,0.11738815434990957,0.4472845525987916,-0.1930369684742098,-0.033152492889157004,6.68457273394786,-6.9991475422285845,21.42435791215142,-23.179018273735878,28.435146419199157,-24.090102044255232,0.824731646089059,14,0.06751881389028422,305.0,81.0,189.4375000000001,0.10825414962134206,-0.11247839068173293,0,24.89482840166477,True
Duke-Clemson,0.21875,10.423235826891215,-2.364155101094937,0.06396424062021266,0.06028104841794035,0.12590854991668132,-0.010050781329656755,-0.0352270535409932,-0.08830554872243968,1.4269162367160675,-0.9374276436256679,10.759017840786711,0.3273886181519714,15.829280279531858,-2.680877999551555,0.1074124570927052,4,0.0561211072056641,83.0,-67.0,-50.149999999999864,0.1259227840548418,-0.017964216198566363,0,6.9181213792966165,True
Duke-Iowa St.,0.40625,14.423601338856116,-6.926500822267627,0.1832950341953824,0.060134726178314946,0.11107349181813753,-0.016104453719514744,-0.009818613392644782,-0.03972141255926631,-0.9208363376297939,-3.1948010339937696,15.627251903196296,-6.915283394992159,13.588451616769916,-10.128956610341831,0.19627837179352947,4,0.05980256254000327,82.0,-196.0,-73.61249999999995,0.1456497965307656,-0.11245806152005822,0,12.51275132671796,True
Duke-Georgia Tech,0.24642857142857144,11.977685890771127,-2.5220858989682995,0.07994458240624969,0.022087645528606425,0.1030613925966119,-0.00741476774698302,-0.0002634742654555877,-0.07428668768942714,0.5739503925557443,-0.15430918759889778,8.734589602149981,-5.319398679926849,8.412998863251076,-8.290200535660503,0.09894175035560804,4,0.01958870623389597,44.0,-155.0,-76.62499999999977,0.11461346413539797,-0.07337301021106135,0,7.050231950709652,False
Duke-Boston College,0.3911290322580645,9.82883943416617,-10.296925485991935,0.16976877790897604,0.07672916962887155,0.1501057073667061,-0.01654279280402393,-0.04114746159220406,-0.0923229530695775,2.6240328680173803,-1.2991353646795005,9.03394066014782,-9.143594431498386,6.080328427761131,-18.213535272325814,0.22103759777949739,6,0.08848920156071227,134.0,-102.0,17.475000000000136,0.11050850464551631,-0.11431520015565655,0,12.861151994895073,True
Duke-Wake Forest,0.22983870967741937,14.143103928290031,-4.449742407289108,0.13342226290959625,0.03341395632189437,0.08614822810208389,0.014242410593085952,-0.016768969050290017,-0.03501391502129281,0.5412209223857758,-0.7704304331479648,12.093337466707197,-2.42975504720215,15.088970976199207,-3.403549364351946,0.10867907324580883,5,-0.061885244222715574,64.0,-124.0,-74.76250000000005,0.13068584897336855,-0.04757189356716751,0,7.381005570002958,True
Duke-North Carolina St.,0.3194444444444444,15.938868793660362,-5.952092979240561,0.19098694977297392,0.06326103531477079,0.14972040653910113,0.0008011670677593452,-0.037782610934852245,-0.09421213918323146,1.6813937732320454,-1.3818396441578216,12.503542169253578,-8.899222548200072,16.298675411110793,-3.8063204363856045,0.12924964129736838,4,-0.017043170637249805,129.0,-129.0,-14.324999999999818,0.13577602780850828,-0.10818370847542147,0,10.852426293687103,False
Duke-Clemson,0.21875,10.423235826891215,-2.364155101094937,0.06396424062021266,0.06028104841794035,0.12590854991668132,-0.010050781329656755,-0.0352270535409932,-0.08830554872243968,1.4269162367160675,-0.9374276436256679,10.759017840786711,0.3273886181519714,15.829280279531858,-2.680877999551555,0.1074124570927052,4,0.0561211072056641,83.0,-67.0,-50.149999999999864,0.1259227840548418,-0.017964216198566363,0,6.9181213792966165,True
Duke-Florida St.,0.1875,17.286319980262334,1.814461894075066,0.08080692382925947,0.05822039006922353,0.11176910882825986,-0.00372768716628491,-0.029969761238999304,-0.037239467958532835,0.6553723638673006,-2.14037789856458,14.303470336759275,0.86490477989868,25.274188615684295,1.8321214288281027,0.16651044648807556,5,-0.010619042982764282,138.0,-21.0,-7.899999999999864,0.13832024095485196,-0.012783550944550748,0,5.610574796538753,True
Duke-Georgetown,0.19852941176470584,4.98236517787123,-6.690428453086298,0.0628188258853789,0.003405255775546623,0.009071696119719252,0.038189239600070035,0.008411554553393374,0.012846646896803926,-1.421656612270553,-0.6111875899835297,5.350547195527199,-7.645069215323176,6.303633925561783,-3.8616746052948656,0.040872793266239604,2,-0.0032365713468233137,-129.0,-250.0,-140.67499999999973,0.02346899623399712,-0.09853807685500027,0,4.108459566977338,False
Duke-Georgia Tech,0.24642857142857144,11.977685890771127,-2.5220858989682995,0.07994458240624969,0.022087645528606425,0.1030613925966119,-0.00741476774698302,-0.0002634742654555877,-0.07428668768942714,0.5739503925557443,-0.15430918759889778,8.734589602149981,-5.319398679926849,8.412998863251076,-8.290200535660503,0.09894175035560804,4,0.01958870623389597,44.0,-155.0,-76.62499999999977,0.11461346413539797,-0.07337301021106135,0,7.050231950709652,True
Duke-Boston College,0.3911290322580645,9.82883943416617,-10.296925485991935,0.16976877790897604,0.07672916962887155,0.1501057073667061,-0.01654279280402393,-0.04114746159220406,-0.0923229530695775,2.6240328680173803,-1.2991353646795005,9.03394066014782,-9.143594431498386,6.080328427761131,-18.213535272325814,0.22103759777949739,6,0.08848920156071227,134.0,-102.0,17.475000000000136,0.11050850464551631,-0.11431520015565655,0,12.861151994895073,True
Duke-North Carolina,0.33445945945945943,14.906453520919001,-6.550133669818109,0.1843724317739288,0.030289652048292925,0.06604593273852422,-0.00873253917732697,0.005395463546333357,0.004926906883895965,-0.10603698347276236,-1.2640570942029115,15.64729881870312,-9.270149044328647,17.879600023075653,-7.213129066840494,0.2148749785336881,-1,-0.035808520138917166,107.0,-168.0,-61.8125,0.1577957986181061,-0.09849523601175314,0,11.119986657018746,True
Duke-Maryland,0.15625,3.484564045675853,-7.513877798705266,0.05906007706424221,0.06093492604160777,0.14365967107777933,0.0003740661375845056,-0.032610523536603764,-0.07839665765891024,1.258354194517139,-1.320387645000153,-2.4341692377264224,-6.512777518570047,5.399656894199637,-8.77705591329618,0.07655909334271405,4,0.001148964183840251,-71.0,-136.0,-66.19999999999982,0.0025854667524221053,-0.06584543382868058,0,5.097444759893509,True
Duke-Miami FL,0.28125,8.505763074601333,-10.074599015215554,0.1455705320098294,0.12322000035532588,0.30194598761782915,0.004770475390285189,-0.06554984783133988,-0.16569832694651931,3.6366983611908097,-1.902959495695555,9.675639356778163,-13.386820657751926,16.18360273299551,-7.74991243967186,0.19525050827733348,6,0.035483345513643294,126.0,-140.0,8.400000000000091,0.11158683864393293,-0.14151380069602826,0,10.386255153110763,True
Duke-Virginia Tech,0.13970588235294112,13.426228366595012,-3.8591824149344234,0.11434192052899061,0.11839767838886484,0.20539876997455875,0.02118476062031238,-0.0922889475520845,-0.10582260744727867,2.221513875577699,-3.920327676934093,11.245306008610285,-3.4058603694551834,18.28613385179456,-4.555910406827294,0.17055265251163076,10,-0.04405221590715791,21.0,-142.0,-91.04999999999973,0.10714217269561055,-0.04923580416382578,0,6.166291077664202,True
Duke-Tulsa,0.2279411764705882,14.70960354404852,-8.916460180821844,0.23130369189790534,0.14166953412080463,0.07101406328907278,0.1911585495647813,-0.11846002771238173,-0.026801340999449308,2.591379996234636,-4.340325392833037,14.61078341700211,-8.895957509763036,20.942662645408987,-9.386912704728601,0.3302377322969132,11,-0.051016772899821206,90.0,-79.0,-3.824999999999818,0.08915543672316018,-0.07131144733761252,0,9.979242744929177,True
