gamekey,record,adjoe,adjde,barthag,sos,ncsos,consos,elite SOS,elite noncon SOS,Opp OE,Opp DE,Con Adj OE,Con Adj DE,Qual O,Qual D,Qual Barthag,Qual Games,FUN,ConPF,ConPA,ConPoss,ConOE,ConDE,ConSOSRemain,WAB,didwin
Kentucky-Marist,0.5125,24.931261992722852,-15.859976204404035,0.6727380789870391,0.2606063169997354,0.10086340503796365,0.32614337221174805,-0.1756298849402339,-0.03032127278518648,6.63133678561681,-5.656232602327478,30.016223828680154,-15.911269249400291,21.30655301207851,-11.537872426942599,0.4261025232879194,15,0.05638576496751163,-15.0,-361.0,-240.26249999999982,0.22160235210514379,-0.10997992728941208,0,22.736577330026037,True
Kentucky-Kansas,0.12948717948717947,9.331226254456709,1.8452997118273657,0.022577467118601535,-0.03827896899488015,-0.08370146630756325,-0.001979794900511256,0.04153965102692536,0.07369005031477138,-1.5343820819573182,0.723535302184743,9.649606742420033,2.216564166426579,2.1654332788993713,-3.4195191023979987,0.022350666733818025,-1,0.021085597077348694,-139.0,-187.0,-203.61249999999973,0.08811058508881642,0.0032382359437453934,0,2.9591632263439873,True
Kentucky-Penn St.,0.575,21.640579336469514,-8.242105923170058,0.3730124330684711,0.0020625690485717163,0.04542813729040579,-0.06755821728557787,0.020417208095010464,-0.02346998280602941,-2.0164594027862393,-1.4344208576457191,22.586692658936727,-8.095375313533367,22.684439985333128,-9.474990637790484,0.4073680890398431,3,0.08407448303897103,107.0,-297.0,-127.16250000000014,0.23161771410117893,-0.15855186564180956,0,17.279899576929086,True
Kentucky-Old Dominion,0.3388888888888888,22.090765862152267,-4.857864354481038,0.29150214005793795,0.15825925374297523,-0.09184427943723683,0.2948068495409461,-0.13758601920116553,0.03891526711765503,4.22245980679611,-3.8151782595318906,26.80828579435928,-0.3098250715522113,16.301719680013207,-10.460573315539747,0.2801374481895287,13,0.07645850198576942,1.0,-108.0,-194.58750000000032,0.1974311692513977,0.06260134857896671,0,15.250205469941143,True
Kentucky-Radford,0.8166666666666667,32.85215273537224,-15.018964365557494,0.8230910134544576,0.27474836964522975,-0.002452833276471167,0.4060936465450078,-0.1858175210594346,0.019027359472489347,5.143721975810138,-7.381538289535655,33.250698961885504,-16.547624126472613,44.26606346668727,-16.56340009594294,0.9239692528434598,16,0.2015037285763049,47.0,-354.0,-208.47500000000014,0.24726861474010542,-0.13184457553638074,0,31.63058319387566,True
Kentucky-Portland,0.75,25.11239373763175,-17.937599025773963,0.7222306697397911,0.08654295365613907,-0.15590183074442765,0.18944286622406414,-0.08346411725690783,0.0945814490126885,1.2726902944048248,-3.195218376990695,29.5762962053101,-14.996465313376078,29.342672764020975,-10.816211751274679,0.6192699706741375,11,0.08827802747983066,165.0,-265.0,-99.875,0.26045377777866296,-0.1566391953985674,0,25.42783433667906,True
Kentucky-St. John's,0.54375,18.832412879185526,-11.515335052981271,0.3886406105061797,0.01113789285953104,0.029889117750492855,-0.0492823055648034,-0.01407460775664826,-0.010734505439315312,0.2748722352762911,-0.8203595525037741,19.620635323174753,-10.652575820699525,18.5886076585861,-16.233031502769094,0.47758318589105936,5,0.06134027049255725,0.0,-400.0,-228.4625000000001,0.22441852395370154,-0.15198730846643504,0,17.25847462380122,True
Kentucky-North Carolina,0.10789473684210527,7.0602537044355245,-0.14789229579871233,0.02402090339220353,0.012606804954801598,-0.021736888855939607,0.013283149170723485,-0.01610555121434354,0.026458988611250067,0.008833290493299728,-0.934325295132993,10.51867159343658,0.5914378208449591,6.635404755110713,-1.5625808298447623,0.03248706166079418,3,0.039900868014605684,-36.0,-117.0,-128.01249999999982,0.10492228341198584,0.002679310688463943,0,2.875695330952759,True
Kentucky-Indiana,0.19999999999999996,2.2766812712153808,-7.734748368757778,0.05127235228342952,0.00440879572345465,0.07445290216948341,-0.06084464158117098,0.019209290847308047,-0.04011167209129296,-0.5434391243748564,-0.20828265979737637,7.381713538627892,-8.093417578025608,2.0240633083735418,-5.166654927597719,0.03224758857411025,3,0.03295145851718384,-117.0,-321.0,-183.07500000000027,0.08738356864176633,-0.12688416289485926,0,5.396647936877344,False
Kentucky-Chattanooga,0.6741379310344827,26.51643437957395,-16.81252811129616,0.7307351609142279,0.27314170236244,0.0008160738947987634,0.391165307508477,-0.16110392186463052,0.07282000565353564,5.9152892941478115,-6.528653920187111,28.36671383624885,-18.371474758797916,38.79278725257065,-3.729481402637134,0.6909043740416309,14,0.1816436506441651,-78.0,-393.0,-260.16250000000014,0.1869146620885549,-0.11887381059055568,0,26.058579482831583,True
