gamekey,record,adjoe,adjde,barthag,sos,ncsos,consos,elite SOS,elite noncon SOS,Opp OE,Opp DE,Con Adj OE,Con Adj DE,Qual O,Qual D,Qual Barthag,Qual Games,FUN,ConPF,ConPA,ConPoss,ConOE,ConDE,ConSOSRemain,WAB,didwin
Louisville-College of Charleston,0.4184829991281604,20.08783559194036,-11.787616984740325,0.48845424045356967,0.14392573001219627,-0.023835025253730824,0.22449555656730713,-0.0909922829205646,0.04748070126525106,2.702299684726171,-3.8152411573892238,18.84503385995683,-11.613909425716471,24.93748758140667,-9.710710470320876,0.6021176051519526,9,0.04482202020656706,424.0,116.0,241.1500000000001,0.14487396871440006,-0.1028862070362423,0,16.937440303278333,True
Louisville-Hofstra,0.5348075348075347,13.814874364672121,-24.623444444490517,0.6521283505375528,0.1380458781346623,-0.019354199158221952,0.2044837285167289,-0.08760759070220347,0.04852359329334388,3.4234065122861495,-2.7940703449291533,14.198133830589143,-23.496458882039022,24.70880005586075,-10.140918027018728,0.6066877664751233,10,0.021804826379589692,337.0,-30.0,197.60000000000014,0.10370757177715917,-0.20105341333828075,0,21.346607822642408,True
Louisville-Cornell,0.8008008008008007,17.630699168536083,-31.85942718341194,0.8412939880625359,0.07410090186176732,-0.07006684807843472,0.12974290123890808,-0.03163593764365835,0.09990803835161266,2.386835888408598,-0.8670687357722642,17.344817057365972,-30.671067895251866,26.76086018255998,-12.534863876321708,0.7070636550227866,8,0.07439081706995745,567.0,62.0,347.76250000000016,0.18399142906042198,-0.2845164445774232,0,23.776335104066735,True
Louisville-Hartford,0.3226863226863227,17.61279452130428,-20.018229428003522,0.6392987785552857,0.24118257071461985,-0.009924121075946424,0.389849029693031,-0.12434156606887559,0.019427715554182656,6.8243758461556325,-4.433668500470219,18.694299944080967,-20.674809079716738,34.2882135815655,-12.006075061384465,0.8297054267453846,11,-0.07996606883910318,397.0,100.0,230.9000000000001,0.12838216582256123,-0.10850903885820473,0,16.111049239958582,True
Louisville-Fairfield,0.6190878378378378,22.48547391220025,-15.654854167950404,0.6591968177441649,0.10877785995199118,-0.1079229620370224,0.1990432519960968,-0.07251141518516924,0.09668633538634763,2.1389085923577795,-2.6929925771337366,20.21519813130459,-16.98260599757623,6.933887391250408,-19.703011209226986,0.39468902985731635,10,0.06800783565072976,109.0,-338.0,-119.75,0.18266934531013979,-0.16912268215017578,0,22.8363818424939,True
Louisville-Southern Miss,0.043720190779014345,10.08759652886765,-12.327211195949445,0.24445183933545556,0.08922791744364,-0.03889782995793595,0.20830356303610997,-0.053045341206426566,0.04432932670233969,2.6460883482636035,-1.5236217544306498,8.013780011807896,-13.174676356056551,21.346382025727394,-4.54647686776859,0.3664757027371075,8,-0.21045251377890828,280.0,120.0,204.26250000000027,0.04171774945490614,-0.06298722219185193,0,3.973423065992429,True
Louisville-UMKC,0.49301025163094125,21.38309027030222,-19.85149476004061,0.7248448900348099,0.15788756767919576,-0.1209291487307918,0.30826877092755495,-0.07927675024667846,0.11581486630478721,2.3983168108693036,-3.8750213374495956,19.411536498443283,-21.06883318747265,38.20343208047258,-7.105671283625014,0.8266897431995873,9,-0.07758212482278304,318.0,-46.0,139.8375000000001,0.14198121707273215,-0.1573629802543145,0,18.189823264417665,True
Louisville-Western Kentucky,0.2249346120313862,17.843474087517592,-14.034059928803131,0.488127397372559,0.13267401141468177,-0.05001594263735398,0.2265795495397458,-0.08307083498230994,0.0679305794278634,2.8252793073545206,-2.8026875228438257,18.552701776861895,-13.835579947918731,17.493380386273984,-1.0643435495047129,0.19130066027746462,10,-0.1622658779760039,199.0,-117.0,17.34999999999991,0.1466297939935941,-0.1087931672491208,0,10.701778967440415,True
Louisville-Missouri St.,0.24408783783783783,13.642736993061263,-16.707861394715906,0.4456775476928164,0.05879791028195114,-0.03488127477732306,0.10666410823118566,-0.03163053568087126,0.07263188179274704,1.7655552613038168,-0.7866789037004054,11.67160367116162,-19.41907071821862,8.299849596828565,-23.514686087730354,0.5188226976528832,7,-0.18102433344687274,234.0,-114.0,97.86250000000018,0.10575485502412585,-0.17786860061321386,0,8.584562058268574,True
Louisville-FIU,0.3735521235521235,18.07826887314708,-19.010335026418474,0.6269397482889376,0.13171469461704294,-0.0070460955024674865,0.1848440864733757,-0.07921674600029471,0.02904348441099247,3.4593075287705233,-2.647235525066094,18.829575111139675,-17.250126442965282,17.91355537703906,-34.45390803285265,0.8554593127174392,9,-0.1216521213097464,376.0,14.0,168.5374999999999,0.16891805124075954,-0.12977827095183525,0,14.085964260097473,True
