gamekey,record,adjoe,adjde,barthag,sos,ncsos,consos,elite SOS,elite noncon SOS,Opp OE,Opp DE,Con Adj OE,Con Adj DE,Qual O,Qual D,Qual Barthag,Qual Games,FUN,ConPF,ConPA,ConPoss,ConOE,ConDE,ConSOSRemain,WAB,didwin
Louisville-Manhattan,0.4375,22.22511748521974,-7.8973659104452025,0.4350754779314624,0.21026157469047624,-0.009676260908934475,0.3223341555680808,-0.18661290022895416,0.015511467019616032,4.568693603134676,-5.5240885789021945,17.072176229792234,-9.287762081345534,38.1785406457857,5.473271230595799,0.43852025120840654,18,0.07728317159129205,183.0,19.0,79.82500000000027,0.08841717285040596,-0.045988884847357525,0,19.9009940741555,True
Louisville-Samford,0.5524193548387097,19.794388145068723,-23.272396607665755,0.7632190908917255,0.3493844375654461,0.038285740519992006,0.49381756065670807,-0.20133034611930078,0.04998358838597394,7.953898694065103,-8.029045982621028,15.812308771179673,-21.425922588673075,29.67554722198136,-16.137738235613327,0.7626407337577713,15,0.08068633877996834,123.0,-75.0,84.20000000000005,0.030686681908989044,-0.13412386765855877,0,24.24788289139012,True
Louisville-Miami OH,0.6083333333333334,18.801380133714275,-19.044328826732638,0.6512781714568738,0.19732228747618996,-0.022537586201936688,0.28973497838324713,-0.1612657539785689,0.04859570485097742,5.487770150860229,-4.834497158743517,16.100830159625943,-22.25429226925695,37.80594632770604,-10.124531630810367,0.8143869892191031,17,0.07279354838079016,292.0,-33.0,173.10000000000025,0.10679353709745099,-0.18129776145072984,0,23.51708095686555,True
Louisville-Northern Iowa,0.2867647058823529,11.900681511043956,-10.12530067758125,0.22669515328210144,0.10225177328165036,-0.05392966460403681,0.12422289628113448,-0.1039087026783867,0.0655759447461517,2.0048305326014315,-3.1772264371642223,8.14073486597411,-8.588196039145672,13.687386542204578,-8.443586352454773,0.19744669388880054,10,0.005223604791734893,117.0,-13.0,79.27500000000009,0.029833308608484765,-0.07416742109692409,0,11.617833326447279,True
Louisville-Missouri,0.19852941176470584,2.5321930123147354,-10.711277821743707,0.09275236779394946,0.1027210417942317,0.06824016264696942,0.10024430951041763,-0.07493701966253696,0.017372462168515068,2.3867063197576925,-2.649856937432304,-3.5968837950180017,-13.617086614921774,13.593746718534561,-6.948633294306333,0.16780218885185805,8,0.03952744535379704,-109.0,-175.0,-33.66249999999991,-0.05971401980921853,-0.11810769334133242,0,7.792096153617477,True
Louisville-Duke,0.04166666666666663,-2.5157077465964903,-7.040664801087573,0.02352223301864198,-0.0020397407356835817,-0.1060141481516168,0.04895171683373334,-0.015931558994698336,0.0725508829775281,-1.1841964530072175,-1.1633648369595306,-6.718435680126902,-9.570153316597441,4.576272374960169,-2.8376525528154417,0.030863341189403815,6,-0.03094880681850498,-127.0,-152.0,-20.999999999999773,-0.08608905160939728,-0.1096151353805147,0,1.420340650536974,False
Louisville-Illinois St.,0.3295454545454546,7.557256186329639,-11.766502596901546,0.17874166599031083,0.13478081257041652,0.10174214828579492,0.12953417025143998,-0.11934460171546613,-0.042167626792519064,2.947924317731392,-3.8561082904099777,4.197585228809686,-13.883609818227555,12.249333853167585,-4.841005838685774,0.11500050727705402,13,0.11777372829483412,-30.0,-189.0,-28.949999999999818,0.00045006728719698685,-0.13337260654270433,0,14.178450949301334,True
Louisville-College of Charleston,0.16911764705882348,14.477095108711268,-14.220145003267106,0.397411191022235,0.34240715300301133,0.0397373517734988,0.5244438490971977,-0.23238444423195304,-0.03269966692808646,7.512951885649969,-8.527052493476987,12.873342649005764,-13.890772567499582,17.939190106388438,-15.028649775261684,0.45143486192986026,17,-0.02699442527235596,51.0,-28.0,40.17500000000018,0.007437504221742719,-0.05482850187482269,0,12.774016524951257,True
Louisville-UMKC,0.6491935483870968,24.27720991030668,-21.877642805527998,0.822169986012498,0.29047990080994546,0.07931294043060916,0.41345810630155216,-0.18788770457756598,0.013405897190487126,5.430789467326804,-8.007783835827667,20.062972212958243,-23.908432342701303,22.980133792241347,-18.229623870449046,0.6594505847932624,16,0.061184285871781846,268.0,-60.0,165.76250000000005,0.09026615030155027,-0.19992148671899157,0,26.589407760790394,True
Louisville-Memphis,0.01388888888888884,9.732334316758255,-5.677558930003471,0.10701895172327691,0.1611667667637151,0.024240402641059644,0.2491875638090738,-0.14127993445726672,0.005473959505446824,2.6365344864317137,-5.426214234496612,5.383214778240216,-5.90502074940386,-7.239304595830106,-18.98885550725396,0.08633982030277187,13,-0.09363881708328037,36.0,36.0,74.21250000000009,-0.0376975444149692,-0.026207863013964383,0,4.497903926188539,True
