gamekey,record,adjoe,adjde,barthag,sos,ncsos,consos,elite SOS,elite noncon SOS,Opp OE,Opp DE,Con Adj OE,Con Adj DE,Qual O,Qual D,Qual Barthag,Qual Games,FUN,ConPF,ConPA,ConPoss,ConOE,ConDE,ConSOSRemain,WAB,didwin
Villanova-Akron,0.13970588235294112,14.353789778216992,-9.351493368208224,0.25005072905458925,0.24109510149397023,0.1285466089915157,0.27184868535645224,-0.20137844061915477,-0.06978165132259029,6.025194193269897,-5.904794103926406,7.541706871341631,-13.751284195003564,36.181230342592286,9.81022015610094,0.17411770115518377,18,-0.015935962576767326,-10.0,-97.0,8.024999999999864,-0.01536919364344258,-0.08463946223774987,0,10.303543547021405,True
Villanova-Butler,0.20833333333333337,4.887610496586831,-7.78945624108691,0.08100577461312763,0.05856792901342556,0.12043514525434923,-0.009285296828977385,-0.030157081014327458,-0.06562419955788235,1.9690693195593383,-0.7962769371408456,2.6986356320661855,-7.171222811290377,17.549181488294266,-0.6742727527473278,0.08848495169543191,5,0.0321088323970381,37.0,-116.0,-11.587500000000318,0.03980764130295,-0.08356328150112702,0,6.88530953575052,True
Villanova-Creighton,0.3035714285714286,10.366299338615136,-5.44608234824004,0.11029645055796289,0.08363541580348166,0.14137375291087773,-0.012596656760963443,-0.054986762556127555,-0.09019665711775315,2.410140716402836,-1.4207362682909235,8.542489832848474,-3.9852003771805045,16.493376215432676,-5.32964412758416,0.13765868797164438,5,0.11442074106124778,59.0,-93.0,-33.08750000000009,0.07523814035865861,-0.04811376646714127,0,10.777677928542207,True
Villanova-Delaware,0.6416666666666666,22.88343881196026,-18.9171818701207,0.709326258370099,0.17686785415355166,0.11884497099645569,0.1622285081879452,-0.16524361572915558,-0.04939023371598261,5.777723966471598,-3.661677896961862,18.665236447352456,-22.11515850444117,37.15225625111334,-5.974548322981434,0.6143857246773864,18,0.070079718554242,199.0,-226.0,19.15000000000009,0.1448796946863884,-0.1993437547482667,0,24.185198486123966,True
Villanova-DePaul,0.5846774193548387,19.29308534698825,-13.24841635579692,0.47695125100702895,0.021744990077375737,0.05232382603175545,-0.052821235636752006,-0.03300941140037883,-0.09604360187841066,1.236324035354727,-0.28842535061849617,13.814241742478131,-14.63223572010395,22.43523409872111,-14.087853597611968,0.43855611779282233,8,0.04257303207391211,206.0,-219.0,11.337500000000091,0.156746018217356,-0.18636569687239557,0,18.192363045893053,True
Villanova-East Tennessee St.,0.2279411764705882,17.76418290282183,-15.497004185396392,0.4963517000711912,0.27373788944214505,0.02833886534005925,0.393445538553057,-0.21687132118221875,-0.030777404214716864,5.831416986737636,-7.275953106760724,12.543994403896448,-17.359844867397086,32.55260775829825,-2.2077322021411163,0.3866224513959725,17,-0.09109536182164535,-13.0,-135.0,-23.299999999999955,0.010363458596580388,-0.08897349258487186,0,14.047656007567046,True
Villanova-Fairleigh Dickinson,0.34375,20.216968686512985,-24.68173198130647,0.7607958199846362,0.4091828198920814,0.08177051359591914,0.5529581485971284,-0.2515486434654508,-0.03885899821901273,11.569269590080353,-7.77189078946796,14.671093791625978,-27.21398101903044,48.75006496652459,-2.9715550656008816,0.8140250415797723,17,-0.06434091696240263,-40.0,-216.0,-57.162500000000136,0.018535117959567637,-0.12409557156287365,0,18.80491837247493,True
Villanova-Georgetown,0.42045454545454547,12.01245270072377,-7.066705485877108,0.15952357047742904,0.037973117255814204,0.0287309281359861,-0.01811460942084253,-0.018241141853185705,-0.030921977137547185,0.9380843885787442,-0.6245143863156954,7.714217568805083,-8.584052030739969,9.412119592457003,-10.107559594619019,0.11943712875981316,3,0.1307244977642515,59.0,-150.0,-24.312500000000227,0.06799975671274994,-0.09996469494192761,0,13.140879447536246,True
Villanova-Georgetown,0.42045454545454547,12.01245270072377,-7.066705485877108,0.15952357047742904,0.037973117255814204,0.0287309281359861,-0.01811460942084253,-0.018241141853185705,-0.030921977137547185,0.9380843885787442,-0.6245143863156954,7.714217568805083,-8.584052030739969,9.412119592457003,-10.107559594619019,0.11943712875981316,3,0.1307244977642515,59.0,-150.0,-24.312500000000227,0.06799975671274994,-0.09996469494192761,0,13.140879447536246,True
Villanova-Georgia Tech,0.29166666666666663,9.303190981034561,-7.379477886498904,0.1254354075031615,0.004725515220267984,0.06610792551228106,-0.07281380255485292,-0.013341837266141354,-0.07649529101378028,-0.37883832461960765,-0.7674497908574693,6.172659275104948,-7.309742779007962,14.398073356640609,-5.750670139888626,0.11825551990246608,1,0.028797932432742757,129.0,-109.0,40.612499999999955,0.06931375593419853,-0.12269831699209732,0,8.947691686476825,True
Villanova-Iowa,0.20833333333333337,8.944280370539616,-4.8463000602352935,0.08631918806379157,0.05019479754905842,0.04620375408898203,0.007780383423096504,-0.03681066786895004,-0.028772621203770554,0.5470026665033458,-1.6779066661674165,2.7061969761999904,-4.800550895851131,3.557589822539313,-4.772343497372802,0.029653738794853446,7,0.03033224030179582,32.0,-61.0,12.775000000000091,0.01434576671745691,-0.059412350495543165,0,6.964304046961994,True
Villanova-La Salle,0.6083333333333334,23.957122378616788,-14.316335687996087,0.6322959435500315,0.10103472841991001,0.06271196705299298,0.07796348616327797,-0.12051943502092755,-0.055101975868463104,3.0064118193984655,-2.6290042602636277,20.80510903685851,-14.616705593300168,29.902030901076643,-26.9433174148307,0.8398383452850477,13,0.041843443379330936,294.0,-131.0,54.049999999999955,0.19604455297277124,-0.15332343609212395,0,21.57156741821771,True
Villanova-Marquette,0.2689393939393939,14.329515129731021,-7.686967753030558,0.21249930478908485,0.10823815510915324,0.20239422774674576,-0.023995325025030878,-0.06363981832060062,-0.13648493515017202,3.470844631337542,-1.8864302947347227,11.736030077538786,-6.824274235760839,18.984163037426356,-9.094906677142177,0.2442415150006112,5,-0.011543631311486613,92.0,-189.0,-67.00000000000023,0.1274650225860514,-0.0954271951640423,0,9.906973346152725,True
