gamekey,record,adjoe,adjde,barthag,sos,ncsos,consos,elite SOS,elite noncon SOS,Opp OE,Opp DE,Con Adj OE,Con Adj DE,Qual O,Qual D,Qual Barthag,Qual Games,FUN,ConPF,ConPA,ConPoss,ConOE,ConDE,ConSOSRemain,WAB,didwin
Gonzaga-Arizona,0.3606418918918919,19.430706304951855,-7.471944518131053,0.2984132835088721,-0.02877974586627885,-0.019333489504725687,-0.07479879231232955,-0.00228035167718299,0.0054093420946516035,-0.5765157770381251,0.012951125517531636,21.207252877417943,-11.951369131327297,3.689625428566643,-20.757462423575276,0.25483022469513417,3,-0.02717090557200863,137.0,-328.0,-125.91249999999968,0.24118470645244217,-0.1792729338300849,0,11.138877909788846,True
Gonzaga-Baylor,0.3036565977742448,9.004879952547412,-9.391530577545652,0.1415510581835694,-0.10164546197336699,0.10330538671999778,-0.2589516867283812,0.10118401749078998,-0.10596825199263193,-1.6770845294369536,3.297199916904191,7.0268748597531925,-11.818896969222763,0.5491265896367565,-15.915252685090977,0.12633626404587783,-9,-0.03983143379461418,71.0,-327.0,-99.54999999999995,0.1637217586037969,-0.20137558132587907,0,5.994179899263802,True
Gonzaga-BYU,0.2981418918918919,13.334183066254326,-12.792078739408268,0.288745678509603,0.03694213174840055,0.050586039364747704,-0.021454679769186247,-0.015156957995755005,-0.0527279737096914,1.2252042725779546,-0.6816343181799596,12.811657724683485,-14.919545717737648,6.3452818670515825,-22.656254270074697,0.3492196355034506,3,-0.03760270619403261,177.0,-227.0,-4.649999999999636,0.165840077774275,-0.20225528380257285,0,10.129333480695323,True
Gonzaga-Cal St. Bakersfield,0.3624801271860095,21.885966141548465,-17.164386904001915,0.6238568032033028,0.18332365738151468,0.2030365984151863,0.12006454813159495,-0.10080011097308117,-0.08557095184674846,3.975792659790784,-3.4208144425046356,21.00536559563737,-20.90359522081947,26.815571542547502,1.4746075686830977,0.2334848793904878,7,-0.07321077477851473,248.0,-210.0,18.625000000000227,0.20811504704275774,-0.2094679348129933,0,15.836562804767922,True
Gonzaga-Denver,0.6252252252252253,24.93736788784892,-21.430361369476742,0.7776453885248984,0.17244528468316506,0.10818390698079916,0.17837206855625454,-0.09939587609045375,-0.048639071146996726,2.9301518685634846,-4.120232432584729,27.169549397937317,-24.51220583266131,41.68782952040368,5.854245490333838,0.5214829184465913,8,0.030796192096903208,248.0,-295.0,-0.5749999999998181,0.22643276869298568,-0.26811176191703323,0,23.128800691991103,True
Gonzaga-Fairleigh Dickinson,0.2918918918918919,18.663060889663512,-20.186430905832623,0.614887358854889,0.28931989141938863,0.1768692802867659,0.3530186401303554,-0.14848182806715116,-0.12069937153487476,7.211884371595119,-5.021460566811541,21.925570055417296,-22.676178431201777,49.48198790891216,-12.702716927175587,0.9384314884365423,9,-0.034201341672792096,7.0,-351.0,-150.8999999999994,0.15738944909249852,-0.17684378385915456,0,16.450448183664108,True
Gonzaga-Florida St.,0.10810810810810811,11.858320884246695,-1.042332119141662,0.06366702121001033,-0.1046907010671786,0.015560278401972383,-0.17373928998862664,0.09307304304084385,-0.05822356475375956,-2.7349587318192476,2.9625308770984304,14.649820493791722,-4.37484806136824,-1.402759802354126,-7.99998723505918,0.033429268033015935,-6,-0.10840312454409018,86.0,-251.0,-140.59999999999968,0.2120406934228798,-0.10474319062994253,0,-0.6970365475291684,True
Gonzaga-BYU,0.2981418918918919,13.334183066254326,-12.792078739408268,0.288745678509603,0.03694213174840055,0.050586039364747704,-0.021454679769186247,-0.015156957995755005,-0.0527279737096914,1.2252042725779546,-0.6816343181799596,12.811657724683485,-14.919545717737648,6.3452818670515825,-22.656254270074697,0.3492196355034506,3,-0.03760270619403261,177.0,-227.0,-4.649999999999636,0.165840077774275,-0.20225528380257285,0,10.129333480695323,True
Gonzaga-Creighton,0.3204633204633205,12.54435722079586,-7.209590660475939,0.15687475981749244,-0.07680705334153959,-0.0233963667941125,-0.1453001486122779,0.0162849266956836,-0.013340329891612934,-1.7981978333312156,1.5118423729681325,14.735921783305926,-10.727655262537525,11.667577805956398,-9.876204366903579,0.1850439712873242,1,0.03983899177762873,27.0,-385.0,-169.21249999999986,0.18905270384958595,-0.18865480988464056,0,9.200368181433463,True
Gonzaga-Duke,0.049786628733997196,4.719803214951483,0.6290332493685611,0.011375361617066426,-0.13587259504509241,-0.05538107038867213,-0.19529065769202192,0.14400141144721557,0.03777777775702318,-3.6803079904127287,4.195775891158348,7.8888837750183285,-2.9778668431379742,-8.59402729688037,-8.132457998283783,0.006240469251658887,-9,-0.08184236162770209,-39.0,-316.0,-205.77499999999986,0.16835145930063322,-0.10624235648260294,0,-4.231170154916995,True
